,id,min_val,max_val
0,-5KQ66BBWC4,902,1798
1,-FaXLcSFjUI,902,1798
2,-IELREHX_js,902,1798
3,-OyDO1g74vc,902,1790
4,-XpUuIgyUHE,902,1798
5,-ZFgsrolSxo,902,1798
6,053oq2xB3oU,902,1798
7,0f39OWEqJ24,902,1798
8,0wBYFahr3uI,902,1798
9,1ReZIMmD_8E,902,1798
10,26V9UzqSguo,902,1798
11,2DUITARAsWQ,902,1798
12,2E_e8JlvTlg,902,1797
13,2FIHxnZKg6A,902,1798
14,2KpThOF_QmE,902,1798
15,2bxKkUgcqpk,902,1798
16,2fwni_Kjf2M,902,1798
17,2qQs3Y9OJX0,902,1798
18,32HR3MnDZ8g,902,1798
19,3IOE-Q3UWdA,908,1798
20,3_VjIRdXVdM,902,1798
21,4Y5qi1gD2Sw,902,1798
22,4ZpjKfu6Cl8,902,1798
23,4gVsDd8PV9U,902,1798
24,4k-rTF3oZKw,902,1798
25,5LrOQEt_XVM,902,1798
26,5MxjqHfkWFI,911,1798
27,5YPjcdLbs5g,902,1797
28,5milLu-6bWI,904,1798
29,7YpF6DntOYw,902,1798
30,7g37N3eoQ9s,902,1798
31,7nHkh4sP5Ks,902,1798
32,8JSxLhDMGtE,902,1798
33,8VZEwOCQ8bc,902,1798
34,8aMv-ZGD4ic,902,1798
35,8nO5FFbIAog,902,1798
36,9HOMUW7QNFc,902,1798
37,9IF8uTRrWAM,902,1798
38,9QbzS8bZXFE,902,1798
39,9Rcxr3IEX4E,902,1798
40,9bK05eBt1GM,902,1798
41,9eAOr_ttXp0,902,1798
42,9mLYmkonWZQ,920,1798
43,9tyiDEYiWiA,902,1798
44,AN07xQokfiE,902,1798
45,AYebXQ8eUkM,902,1798
46,Ag-pXiLrd48,902,1798
47,B1MAUxpKaV8,904,1798
48,BCiuXAuCKAU,902,1798
49,BY3sZmvUp-0,902,1798
50,C25wkwAMB-w,902,1798
51,C3qk4yAMANk,902,1797
52,CG98XdYsgrA,902,1798
53,CrlfWnsS7ac,904,1796
54,D-BJTU6NxZ8,902,1798
55,D8Vhxbho1fY,902,1798
56,Db19rWN5BGo,902,1798
57,E2jecoyAx1M,902,1798
58,E7JcKooKVsM,902,1798
59,Ecivp8t3MdY,902,1798
60,F3dPH6Xqf5M,904,1798
61,Feu1_8NazPE,906,1798
62,G5Yr20A5z_Q,902,1798
63,GBXK_SyfisM,902,1798
64,Gfdg_GcaNe8,909,1797
65,GozLjpMNADg,902,1798
66,Gt61_Yekkgc,902,1798
67,HJzgJ9ZjvJk,902,1798
68,HKjR70GCRPE,902,1798
69,HTYT2vF-j_w,905,1798
70,HV0H6oc4Kvs,902,1798
71,HVAmkvLrthQ,902,1798
72,Hi8QeP_VPu0,902,1798
73,HymKCzQJbB8,902,1798
74,I8j6Xq2B5ys,902,1798
75,IKdBLciu_-A,902,1798
76,Ie35yEssHko,902,1798
77,IuPC-z-M9u8,902,1798
78,J1jDc2rTJlg,902,1798
79,J4bt4y9ShTA,902,1798
80,JNb4nWexD0I,902,1798
81,KIy2a-nejxg,902,1794
82,KWoSGtglCms,902,1798
83,K_SpqDJnlps,902,1798
84,Kb1fduj-jdY,902,1798
85,Ksd1JQFHYWA,902,1798
86,LIavUJVrXaI,902,1798
87,LrDT25hmApw,902,1798
88,M6cgEs9JgDo,902,1798
89,Ma2hgTmveKQ,902,1798
90,N0Dt9i9IUNg,902,1798
91,N1K2bEZLL_A,902,1798
92,N5UD8FGzDek,902,1798
93,N7baJsMszJ0,902,1798
94,NEQ7Wpf-EtI,902,1798
95,O5m_0Yay4EU,902,1798
96,OfMdakd4bHI,902,1798
97,P60OxWahxBQ,902,1798
98,P90hF2S1JzA,902,1798
99,PNZQ2UJfyQE,902,1798
100,PcFEhUKhN6g,908,1798
101,PmElx9ZVByw,902,1798
102,QD3L10bUnBo,902,1798
103,QJzocCGLdHU,902,1796
104,QMwT7DFA5O4,902,1798
105,QaIMUi-elFo,902,1798
106,QotkBTEePI8,902,1798
107,Riu4ZKk4YdQ,902,1798
108,Rm518TUhbRY,902,1798
109,S0tkhGJjwLA,902,1798
110,SHBMiL5f_3Q,902,1798
111,T-Fc9ctuNVI,902,1798
112,T26G6_AjJZ4,902,1798
113,TCmNvNLRWrc,902,1798
114,TM5MPJIq1Is,902,1798
115,TcB0IFBwk-k,902,1798
116,TzaVHtLXOzY,902,1798
117,UOfuzrwkclM,902,1798
118,U_WzY2k8IBM,902,1798
119,UgZFdrNT6W0,902,1787
120,UsLnxI_zGpY,902,1798
121,VRlpH1MbWUw,902,1798
122,Vmef_8MY46w,902,1798
123,VsYPP2I0aUQ,902,1798
124,WKqbLbU68wU,902,1798
125,WVde9pyaHg4,902,1798
126,WlgxRNCHQzw,902,1791
127,X5wWhZ2r9kc,902,1798
128,XF87VL5T0aA,903,1798
129,XV_FF3WC7kA,902,1798
130,XglAvHaEtHY,902,1798
131,YYWdB7h1INo,902,1798
132,Ytga8ciKWJc,905,1798
133,ZxQn8HVmXsY,902,1798
134,_-Z6wFjXtGQ,902,1798
135,_145Aa_xkuE,902,1798
136,_Ca3gOdOHxU,902,1798
137,_a9SWtcaNj8,906,1798
138,_ithRWANKB0,902,1793
139,_mAfwH6i90E,902,1798
140,aDEYi1OG0vU,902,1798
141,aMYcLyh9OhU,902,1798
142,aRbLw-dU2XY,902,1795
143,ax3q-RkVIt4,903,1798
144,b50s4AlOOKY,903,1797
145,b5pRYl_djbs,902,1797
146,bAVXp1oGjHA,902,1798
147,bSZiZ4rOC7c,902,1798
148,bhlFavrh7WU,902,1793
149,c9pEMjPT16M,902,1798
150,cKA-qeZuH_w,902,1798
151,cLiJgvrDlWw,902,1798
152,cWYJHb25EVs,902,1798
153,cc4y-yYm5Ao,914,1798
154,dMH8L7mqCNI,902,1791
155,dgLApPvmfBE,902,1798
156,eA55_shhKko,902,1798
157,fD6VkIRlIRI,902,1798
158,fGgnNCbXZ20,902,1798
159,fNcxxBjEOgw,927,1797
160,fZs-yXm-uUs,902,1798
161,g1wyIcLPbq0,902,1795
162,gjasEUDkbuc,902,1767
163,gjdgj04FzR0,902,1798
164,gqmmpoO1JrY,967,1798
165,hbYvDvJrpNk,902,1798
166,iSlDMboCSao,902,1798
167,j35JnR0Q7Es,902,1798
168,jBs_XYHI7gM,902,1797
169,jI0HIlSsa3s,902,1798
170,jgAwJ0RqmYg,902,1798
171,jqZpiHlJUig,902,1798
172,kAsz-76DTDE,905,1798
173,kLDpP9QEVBs,902,1794
174,kMy-6RtoOVU,923,1798
175,kplbKz3_fZk,902,1798
176,l-jxh8gpxuY,902,1798
177,lT1zdTL-3SM,902,1798
178,lWXhqIAvarw,914,1798
179,mfsbYdLx9wE,902,1798
180,miB-wo2PfLI,902,1798
181,mkcDANJjDcM,902,1798
182,oD_wxyTHJ2I,902,1797
183,oITFHwzfw_k,903,1798
184,oWhvucAskhk,902,1798
185,oq_bufAhyl8,902,1798
186,pGP_oIdKmRY,902,1798
187,phVLLTMzmKk,902,1798
188,phrYEKv0rmw,902,1798
189,piYxcrMxVPw,902,1798
190,pieVIsGmLsc,902,1798
191,plkJ45_-pMk,902,1798
192,qBUu7cy-5Iw,902,1798
193,qpoWHELxL-4,902,1798
194,qrkff49p4E4,902,1798
195,qsTqtWVVSLM,902,1798
196,r2llOyS-BmE,902,1798
197,rCb9-U4TArw,902,1798
198,rFgb2ECMcrY,902,1798
199,rJKeqfTlAeY,902,1798
200,rUYsoIIE37A,902,1798
201,ri4P2enZT9o,902,1798
202,rk8Xm0EAOWs,902,1798
203,sADELCyj10I,905,1798
204,sUVhd0YTKgw,902,1798
205,skiZueh4lfY,902,1798
206,t0V4drbYDnc,902,1798
207,t1LXrJOvPDg,902,1798
208,tEoJW9ycmSY,902,1798
209,tNpZtigMc4g,902,1798
210,tjqCzVjojCo,902,1798
211,tt0t_a1EDCE,905,1798
212,uq_HBsvP548,902,1798
213,uwW0ejeosmk,902,1798
214,uzPI7FcF79U,902,1798
215,v0L-WkMO3s4,902,1798
216,vBbjA4tWCPg,903,1797
217,vfjywN5CN0Y,902,1798
218,wEAeql4z1O0,902,1798
219,wfEOx36N4jA,902,1795
220,wogRuPNBUi8,902,1798
221,x-6CtPWVi6E,902,1798
222,xJmRNZVDDCY,902,1798
223,xO4ABy2iOQA,902,1798
224,xmqSaQPzL1E,902,1798
225,xp67EC-Hvwk,902,1798
226,y7ncweROe9U,902,1798
227,yMtGmGa8KZ0,912,1798
228,yo-Kg2YxlZs,902,1798
229,yqImJuC5UzI,902,1798
230,yvgCGJ6vfkY,902,1798
231,z3kgrh0L_80,902,1790
232,zG7mx8KiavA,902,1798
233,zR725veL-DI,902,1798
234,zlVkeKC6Ha8,902,1798
